# In some cases, one-way synonyms may be more appropriate. One-way synonyms expand only in one direction.
# Example of a one-way synonym rule:
# recruitment => recruitment, hiring, talent acquisition
# This ensures 'recruitment' will expand to related terms, but 'hiring' or 'talent acquisition' will not expand to 'recruitment.'

# One-way synonym rules detected:
recruitment => recruitment, hiring, talent acquisition, staffing, employment
onboarding => onboarding, orientation, induction, new hire process, welcome process
headhunting => headhunting, talent scouting, executive search, talent search, recruitment firm
performance management => performance management, employee performance, job performance, performance evaluation, appraisals
employee retention => employee retention, staff retention, workforce stability, talent retention, employee loyalty
HRIS => HRIS, human resources information system, HR technology, HR software, employee database
HR strategy => HR strategy, human resources strategy, workforce strategy, talent strategy, staffing strategy

# Standard synonyms:
job posting, job vacancy, open position, job opening, role vacancy
candidate, applicant, job seeker, interviewee, potential hire
resume, CV, curriculum vitae, application, professional profile
employee relations, workplace relations, staff relations, team relations, internal communication
learning and development, L&D, employee training, staff training, skills development
performance review, performance appraisal, employee assessment, staff evaluation, review process
KPIs, key performance indicators, performance metrics, goal setting, objectives
compensation, employee compensation, salary, wages, earnings
benefits, employee benefits, perks, compensation package, benefits program
payroll, salary processing, pay management, payroll administration, wages disbursement
health insurance, medical insurance, employee healthcare, wellness plan, health benefits
pension plan, retirement plan, 401(k), retirement savings, pension contributions
compliance, labor law compliance, employment law, workplace regulations, HR legal requirements
employee rights, worker rights, labor rights, fair treatment, workplace fairness
HR policies, workplace policies, employment policies, company guidelines, human resources rules
HR analytics, people analytics, workforce analytics, data-driven HR, HR metrics
HR dashboard, employee data dashboard, HR reports, HR data visualization, workforce reports
HR automation, HR digitalization, HR workflows, automated HR processes, HR tech tools
HR transformation, digital HR, agile HR, next-gen HR, HR innovation
workplace harassment policy, anti-harassment policy, sexual harassment policy, bullying policy, discrimination policy
employee assistance, employee support, EAP, employee assistance program, workplace support
